ID,Region_ELE4,Tamaño_ELE4,GlosaCIIU_ELE4,Basic,Mngt,CCM,Core,Cloud,Sec,Non-system,Invsuppliers,Infosearch,Custcomm,E-goverm,Non-website,Co&Good-Info,Contact-form,Orders,Payment,Orderinvent,Delivery,Aftersales,Advertising,Docexch,Recruit
102490,5,Pequeña 2,Explotación de Minas y Canteras,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106227,12,Pequeña 2,Actividades de alojamiento y de servicio de comidas,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1
100661,4,Pequeña 2,Explotación de Minas y Canteras,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
103555,7,Micro,Transporte y Almacenamiento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105432,13,Pequeña 2,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
103695,7,Micro,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
103644,7,Pequeña 1,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100681,4,Pequeña 2,Actividades de alojamiento y de servicio de comidas,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0
102318,5,Micro,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101634,4,Micro,Actividades de alojamiento y de servicio de comidas,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
103783,2,Micro,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
102617,13,Grande,Construcción,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0
100416,6,Pequeña 2,Otros servicios,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
106706,13,Pequeña 1,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
105126,3,Grande,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
106711,13,Pequeña 1,Explotación de Minas y Canteras,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
107448,13,Pequeña 2,Actividades de alojamiento y de servicio de comidas,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
109811,13,Mediana,Construcción,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
104335,8,Pequeña 1,Actividades de servicios,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108482,13,Pequeña 2,Transporte y Almacenamiento,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
106146,13,Pequeña 1,Construcción,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100286,13,Pequeña 2,Industrias Manufactureras,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
